====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   f   f   f   f   f   f   f   f   f   f   f   f   f   f   f   f   f   r 
 in 1e-09 sec | l   2   4   8   1   3   6   1   2   5   1   2   4   8   1   3   6   1   e 
              | k               6   2   4   2   5   1   0   0   0   1   6   2   5   3   s 
       4400.0 | 0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       4500.0 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       4501.1 | 1   1   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       4600.0 | 0   1   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       4700.0 | 1   1   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       4701.4 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       4702.4 | 1   0   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       4800.0 | 0   0   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       4900.0 | 1   0   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       4901.1 | 1   1   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       5000.0 | 0   1   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       5100.0 | 1   1   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       5101.4 | 1   0   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       5102.7 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       5103.7 | 1   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       5200.0 | 0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       5300.0 | 1   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       5301.1 | 1   1   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       5400.0 | 0   1   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       5500.0 | 1   1   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       5501.4 | 1   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       5502.4 | 1   0   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
       5600.0 | 0   0   1   1   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
